create table Orders (
	OrderId VARCHAR(50),
	CustomerId VARCHAR(50),
	RepairDate DATE,
	TechName VARCHAR(50),
	LicencePlate VARCHAR(50),
	VehicleYear VARCHAR(50),
	VehicleMake VARCHAR(50),
	VehicleModel VARCHAR(50),
	Mileage VARCHAR(50),
	Lube VARCHAR(50),
	OilChange VARCHAR(50),
	FlushTransmission VARCHAR(50),
	FlushDifferential VARCHAR(50),
	Wash VARCHAR(50),
	Polish VARCHAR(50),
	LaborHours INT,
	LaborCostPerHour VARCHAR(50),
	TotalCostParts VARCHAR(50),
	TotalCostLabor VARCHAR(50),
	TotalCostLaborParts VARCHAR(50),
	GrandTotal VARCHAR(50)
);
insert into Orders (OrderId, CustomerId, RepairDate, TechName, LicencePlate, VehicleYear, VehicleMake, VehicleModel, Mileage, Lube, OilChange, FlushTransmission, FlushDifferential, Wash, Polish, LaborHours, LaborCostPerHour, TotalCostParts, TotalCostLabor, TotalCostLaborParts, GrandTotal) values ('448', '0467469', '03/10/2019', 'Bartholomeo Vooght', '188-zmw-3ar', 1997, 'Lexus', 'LS', false, false, true, true, false, false, true, 33, '$33.71', '$406151.62', '$1485.66', '$141151.84', '$3051021.17');
insert into Orders (OrderId, CustomerId, RepairDate, TechName, LicencePlate, VehicleYear, VehicleMake, VehicleModel, Mileage, Lube, OilChange, FlushTransmission, FlushDifferential, Wash, Polish, LaborHours, LaborCostPerHour, TotalCostParts, TotalCostLabor, TotalCostLaborParts, GrandTotal) values ('130', '8437921', '06/01/2019', 'Davita Antunez', '363-edf-9jt', 1995, 'Pontiac', 'Firefly', false, true, true, false, true, true, false, 50, '$14.69', '$7330258.73', '$6099.87', '$9578542.93', '$9613286.67');
insert into Orders (OrderId, CustomerId, RepairDate, TechName, LicencePlate, VehicleYear, VehicleMake, VehicleModel, Mileage, Lube, OilChange, FlushTransmission, FlushDifferential, Wash, Polish, LaborHours, LaborCostPerHour, TotalCostParts, TotalCostLabor, TotalCostLaborParts, GrandTotal) values ('757', '4144396', '01/16/2019', 'Shantee Keyson', '129-ogl-7mo', 1995, 'Porsche', '911', false, true, true, true, false, true, false, 52, '$15.77', '$7343211.10', '$2174.68', '$7018891.77', '$3715290.20');
insert into Orders (OrderId, CustomerId, RepairDate, TechName, LicencePlate, VehicleYear, VehicleMake, VehicleModel, Mileage, Lube, OilChange, FlushTransmission, FlushDifferential, Wash, Polish, LaborHours, LaborCostPerHour, TotalCostParts, TotalCostLabor, TotalCostLaborParts, GrandTotal) values ('847', '9948449', '02/21/2019', 'Petunia O''Cahill', '411-gxs-5wc', 2011, 'Lexus', 'GX', false, false, false, true, false, false, true, 71, '$32.27', '$7828881.42', '$3172.02', '$2433485.14', '$2416962.51');
insert into Orders (OrderId, CustomerId, RepairDate, TechName, LicencePlate, VehicleYear, VehicleMake, VehicleModel, Mileage, Lube, OilChange, FlushTransmission, FlushDifferential, Wash, Polish, LaborHours, LaborCostPerHour, TotalCostParts, TotalCostLabor, TotalCostLaborParts, GrandTotal) values ('425', '7968137', '11/22/2018', 'Maureen Tallent', '484-dxv-2tk', 2001, 'Toyota', 'MR2', false, false, false, false, false, false, false, 37, '$46.51', '$8499548.70', '$2301.13', '$8945235.81', '$6378016.53');
insert into Orders (OrderId, CustomerId, RepairDate, TechName, LicencePlate, VehicleYear, VehicleMake, VehicleModel, Mileage, Lube, OilChange, FlushTransmission, FlushDifferential, Wash, Polish, LaborHours, LaborCostPerHour, TotalCostParts, TotalCostLabor, TotalCostLaborParts, GrandTotal) values ('892', '1173819', '08/27/2019', 'Enoch Duffus', '833-mfi-4tg', 2005, 'Hyundai', 'Santa Fe', true, false, true, false, false, false, false, 29, '$36.60', '$9998349.22', '$8848.06', '$8410933.46', '$1732020.34');
insert into Orders (OrderId, CustomerId, RepairDate, TechName, LicencePlate, VehicleYear, VehicleMake, VehicleModel, Mileage, Lube, OilChange, FlushTransmission, FlushDifferential, Wash, Polish, LaborHours, LaborCostPerHour, TotalCostParts, TotalCostLabor, TotalCostLaborParts, GrandTotal) values ('463', '7096124', '05/23/2019', 'Walker Balaisot', '584-ciw-5pm', 2011, 'Chevrolet', 'Corvette', false, true, false, true, false, true, false, 64, '$22.16', '$7347365.32', '$1746.00', '$7505902.94', '$9180780.02');
insert into Orders (OrderId, CustomerId, RepairDate, TechName, LicencePlate, VehicleYear, VehicleMake, VehicleModel, Mileage, Lube, OilChange, FlushTransmission, FlushDifferential, Wash, Polish, LaborHours, LaborCostPerHour, TotalCostParts, TotalCostLabor, TotalCostLaborParts, GrandTotal) values ('661', '4797780', '10/06/2018', 'Burnaby Catterson', '260-hpv-2nt', 2009, 'BMW', 'M6', true, true, false, false, true, true, false, 67, '$23.52', '$3362894.04', '$1474.26', '$3710808.15', '$6462923.88');
insert into Orders (OrderId, CustomerId, RepairDate, TechName, LicencePlate, VehicleYear, VehicleMake, VehicleModel, Mileage, Lube, OilChange, FlushTransmission, FlushDifferential, Wash, Polish, LaborHours, LaborCostPerHour, TotalCostParts, TotalCostLabor, TotalCostLaborParts, GrandTotal) values ('773', '1955368', '07/03/2019', 'Darrel Bootyman', '580-ojv-4wv', 2010, 'Subaru', 'Forester', true, true, true, false, false, true, true, 52, '$26.33', '$1347156.89', '$8128.82', '$6556849.47', '$9154788.48');
insert into Orders (OrderId, CustomerId, RepairDate, TechName, LicencePlate, VehicleYear, VehicleMake, VehicleModel, Mileage, Lube, OilChange, FlushTransmission, FlushDifferential, Wash, Polish, LaborHours, LaborCostPerHour, TotalCostParts, TotalCostLabor, TotalCostLaborParts, GrandTotal) values ('893', '4534422', '04/05/2019', 'Brit Ferrao', '782-hnb-4rm', 2010, 'Chevrolet', 'Malibu', true, false, false, false, false, false, false, 22, '$34.08', '$6110547.08', '$4812.04', '$7972830.08', '$6147317.29');
insert into Orders (OrderId, CustomerId, RepairDate, TechName, LicencePlate, VehicleYear, VehicleMake, VehicleModel, Mileage, Lube, OilChange, FlushTransmission, FlushDifferential, Wash, Polish, LaborHours, LaborCostPerHour, TotalCostParts, TotalCostLabor, TotalCostLaborParts, GrandTotal) values ('414', '3062862', '04/15/2019', 'Huntley Drover', '985-trj-5pt', 2006, 'Jeep', 'Commander', false, true, false, true, false, false, false, 16, '$40.17', '$4753718.43', '$4070.74', '$4811538.42', '$9807217.71');
